"","x"
"b_Intercept",217.811425439714
"b_Lambda:option_chosenll",-7.79364304910629
"b_Lambda:option_chosenss",2.00387763949787
"sd_subj_id__Intercept",100.824125879003
"sd_subj_id__option_chosenss",123.93824563199
"cor_subj_id__Intercept__option_chosenss",-0.610568646302719
"sigma",106.141678184315
"temp_Intercept",207.931638819759
"r_subj_id[1322,Intercept]",39.7579535049526
"r_subj_id[1402,Intercept]",93.6123484064627
"r_subj_id[1408,Intercept]",18.2342713229434
"r_subj_id[1474,Intercept]",174.749913313991
"r_subj_id[1879,Intercept]",202.484837525239
"r_subj_id[2045,Intercept]",-114.060663938458
"r_subj_id[2249,Intercept]",-7.74495161405428
"r_subj_id[2261,Intercept]",209.531670980396
"r_subj_id[2752,Intercept]",-118.968686520194
"r_subj_id[2758,Intercept]",10.1844940565295
"r_subj_id[3713,Intercept]",-7.01244155258847
"r_subj_id[3720,Intercept]",229.390506167626
"r_subj_id[4037,Intercept]",48.9910630727191
"r_subj_id[4413,Intercept]",3.20640542524756
"r_subj_id[4422,Intercept]",38.2446683340981
"r_subj_id[4441,Intercept]",19.5538198802092
"r_subj_id[5181,Intercept]",129.9161623243
"r_subj_id[5390,Intercept]",14.3726820176701
"r_subj_id[5399,Intercept]",-37.6988803828192
"r_subj_id[5571,Intercept]",91.188202715638
"r_subj_id[5752,Intercept]",27.9012073265442
"r_subj_id[5778,Intercept]",-30.6481148119346
"r_subj_id[5781,Intercept]",-7.29689933836042
"r_subj_id[5813,Intercept]",70.5305464083928
"r_subj_id[5950,Intercept]",-52.4576996507457
"r_subj_id[5953,Intercept]",75.7546779924113
"r_subj_id[5966,Intercept]",-38.5800766596369
"r_subj_id[5985,Intercept]",33.5904348792073
"r_subj_id[6022,Intercept]",63.7401304963836
"r_subj_id[6076,Intercept]",56.4780434831499
"r_subj_id[6131,Intercept]",188.127043843577
"r_subj_id[6147,Intercept]",-35.2648745581523
"r_subj_id[6179,Intercept]",-59.1949551414392
"r_subj_id[6306,Intercept]",-32.2902502676969
"r_subj_id[6343,Intercept]",-56.5297080702683
"r_subj_id[6573,Intercept]",-20.6419091968772
"r_subj_id[6688,Intercept]",-42.2930678796698
"r_subj_id[6703,Intercept]",125.89777381383
"r_subj_id[6920,Intercept]",-45.0206744313215
"r_subj_id[7331,Intercept]",249.125728969108
"r_subj_id[7500,Intercept]",-14.3904298765432
"r_subj_id[7502,Intercept]",-240.340347683704
"r_subj_id[7921,Intercept]",40.9497054779802
"r_subj_id[7993,Intercept]",-2.65984066462102
"r_subj_id[7998,Intercept]",16.0611091848081
"r_subj_id[8044,Intercept]",-73.2634810671913
"r_subj_id[8946,Intercept]",47.5388428528711
"r_subj_id[9155,Intercept]",27.5780048138054
"r_subj_id[9709,Intercept]",40.5621834528944
"r_subj_id[9711,Intercept]",-48.2483404008328
"r_subj_id[9714,Intercept]",14.2750102728888
"r_subj_id[9792,Intercept]",86.9723156544655
"r_subj_id[9864,Intercept]",145.73852156353
"r_subj_id[9970,Intercept]",26.8669238774141
"r_subj_id[1322,option_chosenss]",-185.139926988147
"r_subj_id[1402,option_chosenss]",-223.972222761186
"r_subj_id[1408,option_chosenss]",48.9202088030763
"r_subj_id[1474,option_chosenss]",-92.7484548620795
"r_subj_id[1879,option_chosenss]",-165.792513499541
"r_subj_id[2045,option_chosenss]",58.0376459975917
"r_subj_id[2249,option_chosenss]",-65.4905241581661
"r_subj_id[2261,option_chosenss]",-8.25944041803189
"r_subj_id[2752,option_chosenss]",-54.8626447590364
"r_subj_id[2758,option_chosenss]",-86.0013675661873
"r_subj_id[3713,option_chosenss]",-73.1578272586422
"r_subj_id[3720,option_chosenss]",-217.447481328479
"r_subj_id[4037,option_chosenss]",5.35345840911898
"r_subj_id[4413,option_chosenss]",-67.9913394476115
"r_subj_id[4422,option_chosenss]",-87.2259506073054
"r_subj_id[4441,option_chosenss]",-74.8906810685195
"r_subj_id[5181,option_chosenss]",-232.817699212258
"r_subj_id[5390,option_chosenss]",-11.9882993017922
"r_subj_id[5399,option_chosenss]",-1.24734956086297
"r_subj_id[5571,option_chosenss]",-181.630612152945
"r_subj_id[5752,option_chosenss]",-141.932550733855
"r_subj_id[5778,option_chosenss]",17.1272870280999
"r_subj_id[5781,option_chosenss]",-49.9188179931632
"r_subj_id[5813,option_chosenss]",-120.20142627278
"r_subj_id[5950,option_chosenss]",18.4810432851652
"r_subj_id[5953,option_chosenss]",-128.718547541336
"r_subj_id[5966,option_chosenss]",20.9953609109465
"r_subj_id[5985,option_chosenss]",-42.2409800032852
"r_subj_id[6022,option_chosenss]",-107.773127761006
"r_subj_id[6076,option_chosenss]",-79.7712029480455
"r_subj_id[6131,option_chosenss]",-299.041666286945
"r_subj_id[6147,option_chosenss]",-49.4731169493973
"r_subj_id[6179,option_chosenss]",88.1461038674132
"r_subj_id[6306,option_chosenss]",-103.171228394856
"r_subj_id[6343,option_chosenss]",-7.26540287814329
"r_subj_id[6573,option_chosenss]",271.19590988243
"r_subj_id[6688,option_chosenss]",-44.1719913916561
"r_subj_id[6703,option_chosenss]",-106.400366711312
"r_subj_id[6920,option_chosenss]",-74.1922133568966
"r_subj_id[7331,option_chosenss]",-47.6069359137999
"r_subj_id[7500,option_chosenss]",6.60780894501226
"r_subj_id[7502,option_chosenss]",206.711387393926
"r_subj_id[7921,option_chosenss]",-134.93898928594
"r_subj_id[7993,option_chosenss]",-72.5787920993871
"r_subj_id[7998,option_chosenss]",-52.3741870754035
"r_subj_id[8044,option_chosenss]",-17.0347600491572
"r_subj_id[8946,option_chosenss]",-58.7055738149076
"r_subj_id[9155,option_chosenss]",-88.397858832303
"r_subj_id[9709,option_chosenss]",-62.111342505854
"r_subj_id[9711,option_chosenss]",0.189849334562262
"r_subj_id[9714,option_chosenss]",64.8060076553081
"r_subj_id[9792,option_chosenss]",166.556561698672
"r_subj_id[9864,option_chosenss]",-239.80015604224
"r_subj_id[9970,option_chosenss]",-79.4976897009406
"lp__",-15400.1742903659
"z_1[1,1]",0.39343977780939
"z_1[2,1]",-1.6154658206173
"z_1[1,2]",0.927406054737856
"z_1[2,2]",-1.58365619706028
"z_1[1,3]",0.178952849636401
"z_1[2,3]",0.662151305464402
"z_1[1,4]",1.74733464452082
"z_1[2,4]",0.417332030753734
"z_1[1,5]",2.02601324782519
"z_1[2,5]",-0.129609668137391
"z_1[1,6]",-1.14793745656217
"z_1[2,6]",-0.285775060648279
"z_1[1,7]",-0.0821650035837909
"z_1[2,7]",-0.737480652087586
"z_1[1,8]",2.09741043323553
"z_1[2,8]",1.57603417700144
"z_1[1,9]",-1.19903465202867
"z_1[2,9]",-1.50532715110971
"z_1[1,10]",0.0977874301046968
"z_1[2,10]",-0.810909215930729
"z_1[1,11]",-0.0757638300747179
"z_1[2,11]",-0.812313561930138
"z_1[1,12]",2.29610281045872
"z_1[2,12]",-0.454068738681614
"z_1[1,13]",0.487730079364916
"z_1[2,13]",0.449577211954721
"z_1[1,14]",0.0274883887968417
"z_1[2,14]",-0.678353364026984
"z_1[1,15]",0.378931849165814
"z_1[2,15]",-0.602456914945215
"z_1[1,16]",0.19148141079033
"z_1[2,16]",-0.619985140025274
"z_1[1,17]",1.29819570971907
"z_1[2,17]",-1.4022449509155
"z_1[1,18]",0.140219466035903
"z_1[2,18]",-0.00451025160528969
"z_1[1,19]",-0.382855992805468
"z_1[2,19]",-0.302630103957503
"z_1[1,20]",0.901618646125427
"z_1[2,20]",-1.16022405103737
"z_1[1,21]",0.275159813378336
"z_1[2,21]",-1.25519812181567
"z_1[1,22]",-0.312466953647255
"z_1[2,22]",-0.0555002829230497
"z_1[1,23]",-0.0780436699516713
"z_1[2,23]",-0.571985312038947
"z_1[1,24]",0.703263523012591
"z_1[2,24]",-0.692631979827962
"z_1[1,25]",-0.531809515638402
"z_1[2,25]",-0.21401967216086
"z_1[1,26]",0.756502038415387
"z_1[2,26]",-0.742227020761087
"z_1[1,27]",-0.391810180977468
"z_1[2,27]",-0.0786950155013351
"z_1[1,28]",0.331797605598472
"z_1[2,28]",-0.16757005006848
"z_1[1,29]",0.634618047249369
"z_1[2,29]",-0.61568994292242
"z_1[1,30]",0.562026691814723
"z_1[2,30]",-0.38030561842057
"z_1[1,31]",1.87828536567865
"z_1[2,31]",-1.63037108006138
"z_1[1,32]",-0.357219194720861
"z_1[2,32]",-0.788677106742687
"z_1[1,33]",-0.598703853208656
"z_1[2,33]",0.461409891306572
"z_1[1,34]",-0.327369841899023
"z_1[2,34]",-1.32239447865771
"z_1[1,35]",-0.571172302846632
"z_1[2,35]",-0.513642462519385
"z_1[1,36]",-0.211161140215449
"z_1[2,36]",2.68229796448921
"z_1[1,37]",-0.428935878425594
"z_1[2,37]",-0.788014094751531
"z_1[1,38]",1.25824250443283
"z_1[2,38]",-0.111102229928382
"z_1[1,39]",-0.456638633774421
"z_1[2,39]",-1.1250736364903
"z_1[1,40]",2.4970648065219
"z_1[2,40]",1.47685513752458
"z_1[1,41]",-0.14914507913075
"z_1[2,41]",-0.036643082802561
"z_1[1,42]",-2.41746243646862
"z_1[2,42]",0.272802772741328
"z_1[1,43]",0.4051220802685
"z_1[2,43]",-1.07938398672622
"z_1[1,44]",-0.0311010014885326
"z_1[2,44]",-0.772631160552858
"z_1[1,45]",0.156805538853805
"z_1[2,45]",-0.413083400738235
"z_1[1,46]",-0.739927183335142
"z_1[2,46]",-0.749662374024979
"z_1[1,47]",0.4728344705509
"z_1[2,47]",-0.230830498809125
"z_1[1,48]",0.272594877547313
"z_1[2,48]",-0.69910198288461
"z_1[1,49]",0.402963155342544
"z_1[2,49]",-0.322419528351343
"z_1[1,50]",-0.488791673627096
"z_1[2,50]",-0.37196437140634
"z_1[1,51]",0.138770724515814
"z_1[2,51]",0.796963087687708
"z_1[1,52]",0.868337128611906
"z_1[2,52]",2.43710510825209
"z_1[1,53]",1.45839500448977
"z_1[2,53]",-1.35065611477202
"z_1[1,54]",0.264540237409889
"z_1[2,54]",-0.61028994125892
"L_1[1,1]",1
"L_1[2,1]",-0.610568646302719
"L_1[1,2]",0
"L_1[2,2]",0.782486790070232
